식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
자두_후무사_생것,44,11.47,0.64,0.05,0
자몽(그레이프프루트)_생것,32,7.92,0.84,0.05,1
참외_씨 제거_생것,40,10.49,0.59,0.04,2
참외_씨 포함_생것,43,10.15,1,0.4,2
크랜베리_생것,46,11.97,0.46,0.13,2
크랜베리_말린것에 당류를 가한것,314,85.73,0.25,0.58,2
키위_골드_생것,54,13.73,0.77,0.26,1
포도_홍이슬_생것,53,14.16,0.31,0.06,0
포도_홍주씨들레스_껍질 포함_생것,68,18.11,0.29,0.17,0
포도_흑구슬_생것,62,15.68,0.27,0.6,1
포도_흑보석_생것,52,13.9,0.3,0.15,1
포도_청포도(샤이니스타)_생것,76,20.2,0.49,0.22,0
포도_청포도(청수)_생것,65,17.48,0.33,0.07,0
포도즙_천연과즙,48,12.62,0.66,0.01,1
아로니아_네로_생것,60,15.41,0.82,0.21,0
아로니아_바이킹_얼린것,68,17.45,1.08,0.23,0
체리_생것,67,16.9,1.59,0.06,1
플럼코트_생것,47,9.97,0.61,1.05,0
꾸지뽕_열매_생것,74,13.82,1.74,2.16,0
라즈베리_생것,52,11.94,1.2,0.65,1
백향과(패션프루트) 주스_황색과육,60,14.45,0.67,0.18,6
백향과(패션프루트) 주스_자색과육,51,13.6,0.39,0.05,6
포도_말린것,297,78.89,2.64,0.53,27
포도_거봉_생것,60,15.73,0.4,0.27,1
포도_거봉_껍질 포함_생것,68,18.25,0.59,0.05,0
포도_델라웨어_생것,67,17.9,0.6,0.1,0
포도_마스캇함브르그_생것,66,17.3,0.5,0.2,1
포도_세레단_생것,58,15.4,0.6,0.1,5
포도_캠벨얼리_생것,57,15.08,0.5,0.1,1
블랙커런트_생것,63,15.38,1.4,0.41,2
애플수박_S-비너스_생것,40,8.39,0.94,0.81,0
구기자_재래종_열매_생것,69,10.23,4.5,2.04,1
잭프루트_생것,95,23.25,1.72,0.64,2
오렴자(카람볼라)_생것,30,7.5,0.7,0.1,1
마가목 열매_생것,115,25.5,1.3,0.8,
보리밥 열매_말린것,354,68.5,18.5,1.3,
사과_감홍_생것,51,13.74,0.34,0.08,0
사과_양광_생것,47,12.68,0.29,0.1,0
사과_동결건조,332,85.87,1.86,1.94,0
오렌지_네블_생것,47,11.81,0.92,0.16,2
거위고기_살코기_생것,161,0,22.75,7.13,87
거위고기_살코기_구운것,238,0,28.97,12.67,76
거위 부산물_간_생것,133,6.32,16.37,4.28,140
고래고기_생것,111,0,26.5,0.5,78
꿩고기_숫꿩_생것,124,0,27.5,0.8,70
포도_스텔라_껍질 포함_생것,50,12.75,0.7,0.16,1
포도_진옥_생것,52,13.88,0.45,0.08,1
포도_탄금추_생것,50,13.13,0.35,0.15,1
포도_탐나라_생것,49,13.14,0.4,0.06,0
포도_홍단_생것,59,15.75,0.37,0.13,1
포도_홍아람_생것,57,15.4,0.39,0.09,1
꿩고기_암꿩_생것,120,0,27.2,0.6,
닭고기_구운것,247,2.8,27.8,12.6,189
닭고기_가슴(껍질 제거)_생것,106,0,22.97,0.97,45
닭고기_가슴(껍질 제거)_삶은것,127,0,28.09,0.93,40
닭고기_가슴(껍질 제거)_구운것(팬),164,0,35.47,1.48,61
닭고기_날개_생것,178,0,18.78,10.53,74
닭고기_날개_삶은것,233,0,25.1,13.54,62
닭고기_날개_구운것(오븐),244,0,26.36,14.08,97
닭고기_넓적다리_생것,190,0,18.59,11.83,62
닭고기_넓적다리_삶은것,230,0,25.14,13.18,50
닭고기_넓적다리_구운것(팬),238,0,26.33,13.53,88
닭고기_목_생것,342,0,15.05,29.58,59
닭고기_아랫다리_생것,154,0,19.41,7.67,84
닭고기_아랫다리_삶은것,189,0,24.34,9.17,76
닭고기_아랫다리_구운것(오븐),215,0,28.88,9.92,116
닭고기_전체_튀긴것,274,6.1,23.9,17.1,377
닭고기_살코기_생것,115,0.1,24,1.4,58
닭고기_살코기_삶은것,142,0.1,27.8,2.6,62
닭고기_성계_생것,180,0.1,19,10.6,66
라즈베리_얼린것,56,12.55,1.15,0.81,4
망고스틴_생것,71,17.5,0.6,0.2,1
구즈베리_생것,51,13.2,1,0.1,1
돼지고기_삼겹살(갈매기살)_생것,190,0,17.92,12.16,56
돼지고기_삼겹살(등갈비)_생것,237,0,17.88,17.19,52
돼지고기_삼겹살(토시살)_생것,141,0,20.46,5.82,59
닭고기_영계_삶은것,251,0,26.1,15,74
닭고기_오골계_생것,138,0.1,19,6.1,80
닭고기_토종_생것,118,0.2,22,2.6,63
닭고기_토종_가슴,106,0.5,23.1,0.7,54
닭고기_토종_날개,122,0.8,20.4,3.5,51
닭고기_토종_껍질,351,0,12.6,31.6,58
닭고기_토종_다리,130,0.9,18.9,4.9,72
닭고기_토종_살코기,108,2.8,20,1.3,73
닭 부산물_모래주머니_생것,84,0,16.87,1.41,42
닭 부산물_모래주머니_구운것(오븐),132,0,26.78,2,57
닭 부산물_간_생것,116,0.1,18.8,3.9,92
닭 부산물_간_삶은것,167,0.87,24.46,6.51,76
닭 부산물_심장(염통)_생것,153,0.71,15.55,9.33,74
닭 부산물_심장(염통)_삶은것,185,0.1,26.41,7.92,48
닭 부산물_발_삶은것,215,0.2,19.4,14.6,67
닭 부산물_닭발_생것,199,0,17.64,13.27,66
닭 부산물_간_구운것(팬),154,3.58,18.54,6.53,74
닭 부산물_심장(염통)_구운것(팬),216,0,24.44,11.98,133
닭 육수,12,0,1.3,0.7,13
돼지고기_사태_생것,156,0,19.78,7.72,71
돼지고기_사태_삶은것,203,0,29.14,8.46,54
돼지고기_사태_구운것(팬),212,0,28.47,9.74,99
돼지고기_살코기_생것,203,0,19.45,12.84,50
돼지고기_안심(안심살)_생것,123,0,22.21,3.15,46
닭 부산물_닭발_육수,4,0,0.25,0.28,20
돼지고기_뒷다리_생것,135,0,20.88,4.97,48
돼지고기_뒷다리_삶은것,211,0,30.63,8.7,42
돼지고기_뒷다리_구운것(팬),212,0,30.21,8.93,63
돼지고기_삼겹살(삼겹살)_생것,392,0,13.27,35.7,55
돼지고기_삼겹살(삼겹살)_삶은것,427,0,19.58,36.64,40
돼지고기_삼겹살(삼겹살)_구운것(팬),484,0,22.78,41.2,80
돼지고기_뒷다리(도가니살)_생것,130,0,21.29,4.23,46
돼지고기_뒷다리(뒷사태살)_생것,135,0,20.51,5.11,48
돼지고기_뒷다리(보섭살)_생것,138,0,21.13,5.14,45
돼지고기_뒷다리(볼기살)_생것,133,0,20.79,4.81,51
돼지고기_뒷다리(설깃살)_생것,139,0,20.9,5.39,49
돼지고기_뒷다리(홍두깨살)_생것,136,0,20.03,5.44,43
돼지고기_등심(등심덧살)_생것,203,0,17.51,13.74,52
